generic_name,category
ALCOHOL ANTISEPTIC PADS,"Nutrition, Fluids, Electrolytes & Supplies"
ALDESLEUKIN,Oncology & Immunology
ALECTINIB HCL,Oncology & Immunology
ALEMTUZUMAB,Oncology & Immunology
ALENDRONATE SODIUM,"Endocrine, Metabolic & Hormonal"
ALENDRONATE SODIUM/VITAMIN D3,"Endocrine, Metabolic & Hormonal"
ALFUZOSIN HCL,Gastrointestinal & Genitourinary
ALGLUCOSIDASE ALFA,"Endocrine, Metabolic & Hormonal"
ALIROCUMAB,Oncology & Immunology
ALISKIREN HEMIFUMARATE,Cardiovascular & Blood
ALISKIREN/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
ALITRETINOIN,Dermatology (Topical)
ALLOPURINOL,"Endocrine, Metabolic & Hormonal"
ALMOTRIPTAN MALATE,"Neurology, Psychiatry & Pain"
ALOGLIPTIN BENZ/METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
ALOGLIPTIN BENZ/PIOGLITAZONE,"Endocrine, Metabolic & Hormonal"
ALOGLIPTIN BENZOATE,"Endocrine, Metabolic & Hormonal"
ALOSETRON HCL,"Nutrition, Fluids, Electrolytes & Supplies"
ALPHA-1-PROTEINASE INHIBITOR,"Nutrition, Fluids, Electrolytes & Supplies"
ALPRAZOLAM,"Neurology, Psychiatry & Pain"
ALPROSTADIL,Gastrointestinal & Genitourinary
ALTRETAMINE,Oncology & Immunology
AMANTADINE HCL,"Neurology, Psychiatry & Pain"
AMBRISENTAN,Cardiovascular & Blood
AMCINONIDE,Dermatology (Topical)
AMIKACIN SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
AMILORIDE HCL,Cardiovascular & Blood
AMILORIDE/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
AMINO ACID 4.25 %/DEXTROSE 25%,"Nutrition, Fluids, Electrolytes & Supplies"
AMINO ACIDS 5 %/DEXTROSE 15 %,"Nutrition, Fluids, Electrolytes & Supplies"
AMINO ACIDS 5 %/DEXTROSE 25 %,"Nutrition, Fluids, Electrolytes & Supplies"
AMINOCAPROIC ACID,"Nutrition, Fluids, Electrolytes & Supplies"
AMINOLEVULINIC ACID HCL,"Nutrition, Fluids, Electrolytes & Supplies"
AMINOPHYLLINE,Respiratory & Allergy
AMINOSALICYLIC ACID,Dermatology (Topical)
AMIODARONE HCL,Cardiovascular & Blood
AMITRIPTYLINE HCL,"Neurology, Psychiatry & Pain"
AMITRIPTYLINE/CHLORDIAZEPOXIDE,"Neurology, Psychiatry & Pain"
AMLODIPINE BES/OLMESARTAN MED,Cardiovascular & Blood
AMLODIPINE BESYLATE,Cardiovascular & Blood
AMLODIPINE BESYLATE/BENAZEPRIL,Cardiovascular & Blood
AMLODIPINE BESYLATE/VALSARTAN,Cardiovascular & Blood
AMLODIPINE/ATORVASTATIN,Cardiovascular & Blood
AMLODIPINE/VALSARTAN/HCTHIAZID,Cardiovascular & Blood
AMMONIUM LACTATE,"Nutrition, Fluids, Electrolytes & Supplies"
AMOXAPINE,"Neurology, Psychiatry & Pain"
AMOXICILLIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
AMOXICILLIN/POTASSIUM CLAV,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
AMPHETAMINE,"Neurology, Psychiatry & Pain"
AMPHETAMINE SULFATE,"Neurology, Psychiatry & Pain"
AMPHOTERICIN B,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
AMPHOTERICIN B LIPID COMPLEX,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
AMPHOTERICIN B LIPOSOME,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
AMPICILLIN SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
AMPICILLIN SODIUM/SULBACTAM NA,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
AMPICILLIN TRIHYDRATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ANAGRELIDE HCL,"Nutrition, Fluids, Electrolytes & Supplies"
ANAKINRA,Oncology & Immunology
ANASTROZOLE,Oncology & Immunology
ANIDULAFUNGIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ANTHRALIN,Dermatology (Topical)
APIXABAN,Cardiovascular & Blood
APOMORPHINE HCL,"Neurology, Psychiatry & Pain"
APRACLONIDINE HCL,Ophthalmic & Otic
APREMILAST,"Nutrition, Fluids, Electrolytes & Supplies"
APREPITANT,Gastrointestinal & Genitourinary
ARFORMOTEROL TARTRATE,Respiratory & Allergy
ARIPIPRAZOLE,"Neurology, Psychiatry & Pain"
ARIPIPRAZOLE LAUROXIL,"Neurology, Psychiatry & Pain"
ARMODAFINIL,"Neurology, Psychiatry & Pain"
ARTEMETHER/LUMEFANTRINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ASENAPINE MALEATE,"Neurology, Psychiatry & Pain"
ASFOTASE ALFA,"Endocrine, Metabolic & Hormonal"
ASPIRIN,Cardiovascular & Blood
ASPIRIN/CAFFEIN/DIHYDROCODEINE,Cardiovascular & Blood
ASPIRIN/DIPYRIDAMOLE,Cardiovascular & Blood
ASPIRIN/OMEPRAZOLE,Cardiovascular & Blood
ATAZANAVIR SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ATAZANAVIR SULFATE/COBICISTAT,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ATENOLOL,Cardiovascular & Blood
ATENOLOL/CHLORTHALIDONE,Cardiovascular & Blood
ATEZOLIZUMAB,Oncology & Immunology
ATOMOXETINE HCL,"Neurology, Psychiatry & Pain"
ATORVASTATIN CALCIUM,Cardiovascular & Blood
ATOVAQUONE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ATOVAQUONE/PROGUANIL HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ATROPINE SULFATE,"Nutrition, Fluids, Electrolytes & Supplies"
AURANOFIN,"Nutrition, Fluids, Electrolytes & Supplies"
AXITINIB,Oncology & Immunology
AZACITIDINE,Oncology & Immunology
AZATHIOPRINE,Oncology & Immunology
AZELAIC ACID,Dermatology (Topical)
AZELASTINE HCL,Respiratory & Allergy
AZELASTINE/FLUTICASONE,Respiratory & Allergy
AZILSARTAN MED/CHLORTHALIDONE,Cardiovascular & Blood
AZILSARTAN MEDOXOMIL,Cardiovascular & Blood
AZITHROMYCIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
AZTREONAM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
AZTREONAM LYSINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
AZTREONAM/DEXTROSE-WATER,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
B COMP NO3/FOLIC/C/BIOTIN/ZINC,"Nutrition, Fluids, Electrolytes & Supplies"
B COMPLEX W-C NO.20/FOLIC ACID,"Nutrition, Fluids, Electrolytes & Supplies"
BACITRACIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
BACITRACIN/POLYMYXIN B SULFATE,Dermatology (Topical)
BACLOFEN,"Neurology, Psychiatry & Pain"
BALANCED SALT IRRIG SOLN NO.2,"Nutrition, Fluids, Electrolytes & Supplies"
BALSALAZIDE DISODIUM,Gastrointestinal & Genitourinary
BCG LIVE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"BCG VACCINE, LIVE/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
BECAPLERMIN,Dermatology (Topical)
BECLOMETHASONE DIPROPIONATE,Dermatology (Topical)
BEDAQUILINE FUMARATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
BELATACEPT,Oncology & Immunology
BELIMUMAB,Oncology & Immunology
BELINOSTAT,Oncology & Immunology
BENAZEPRIL HCL,Cardiovascular & Blood
BENAZEPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
BENDAMUSTINE HCL,Oncology & Immunology
BENZONATATE,Respiratory & Allergy
BENZTROPINE MESYLATE,"Neurology, Psychiatry & Pain"
BEPOTASTINE BESILATE,Ophthalmic & Otic
BESIFLOXACIN HCL,Ophthalmic & Otic
BETAINE,"Endocrine, Metabolic & Hormonal"
"BETAMETHASONE ACETATE,SOD PHOS","Nutrition, Fluids, Electrolytes & Supplies"
BETAMETHASONE DIPROPIONATE,Dermatology (Topical)
BETAMETHASONE VALERATE,Dermatology (Topical)
BETAMETHASONE/PROPYLENE GLYC,"Nutrition, Fluids, Electrolytes & Supplies"
BETAXOLOL HCL,Cardiovascular & Blood
BETHANECHOL CHLORIDE,"Nutrition, Fluids, Electrolytes & Supplies"
BEVACIZUMAB,Oncology & Immunology
BEXAROTENE,Oncology & Immunology
BEZLOTOXUMAB,Oncology & Immunology
BICALUTAMIDE,Oncology & Immunology
BIMATOPROST,Ophthalmic & Otic
BISMUTH/METRONID/TETRACYCLINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
BISOPROLOL FUMARATE,Cardiovascular & Blood
BISOPROLOL/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
BLEOMYCIN SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
BLINATUMOMAB,Oncology & Immunology
BORTEZOMIB,Oncology & Immunology
BOSENTAN,Cardiovascular & Blood
BOSUTINIB,Oncology & Immunology
BREXPIPRAZOLE,"Neurology, Psychiatry & Pain"
BRIGATINIB,Oncology & Immunology
BRIMONIDINE TARTRATE,Ophthalmic & Otic
BRIMONIDINE TARTRATE/TIMOLOL,Ophthalmic & Otic
BRINZOLAMIDE,Ophthalmic & Otic
BRINZOLAMIDE/BRIMONIDINE TART,Ophthalmic & Otic
BRIVARACETAM,"Neurology, Psychiatry & Pain"
BRODALUMAB,Oncology & Immunology
BROMFENAC SODIUM,Ophthalmic & Otic
BROMOCRIPTINE MESYLATE,"Nutrition, Fluids, Electrolytes & Supplies"
BROMPHENIRAMINE/PSEUDOEPHED/DM,Respiratory & Allergy
BUDESONIDE,Dermatology (Topical)
BUDESONIDE/FORMOTEROL FUMARATE,Dermatology (Topical)
BUMETANIDE,Cardiovascular & Blood
BUPIVACAINE HCL,"Neurology, Psychiatry & Pain"
BUPIVACAINE HCL/PF,"Neurology, Psychiatry & Pain"
BUPRENORPHINE,"Neurology, Psychiatry & Pain"
BUPRENORPHINE HCL,"Neurology, Psychiatry & Pain"
BUPRENORPHINE HCL/NALOXONE HCL,"Neurology, Psychiatry & Pain"
BUPROPION HBR,"Neurology, Psychiatry & Pain"
BUPROPION HCL,"Neurology, Psychiatry & Pain"
BUSPIRONE HCL,"Neurology, Psychiatry & Pain"
BUSULFAN,Oncology & Immunology
BUTABARBITAL SODIUM,"Neurology, Psychiatry & Pain"
BUTALB/ACETAMINOPHEN/CAFFEINE,"Nutrition, Fluids, Electrolytes & Supplies"
BUTALBIT/ACETAMIN/CAFF/CODEINE,"Neurology, Psychiatry & Pain"
BUTALBITAL/ACETAMINOPHEN,"Nutrition, Fluids, Electrolytes & Supplies"
BUTALBITAL/ASPIRIN/CAFFEINE,Cardiovascular & Blood
BUTENAFINE HCL,Dermatology (Topical)
BUTOCONAZOLE NITRATE,Dermatology (Topical)
BUTORPHANOL TARTRATE,"Neurology, Psychiatry & Pain"
C1 ESTERASE INHIBITOR,"Nutrition, Fluids, Electrolytes & Supplies"
"C1 ESTERASE INHIBITOR, RECOMB","Nutrition, Fluids, Electrolytes & Supplies"
CABAZITAXEL,Oncology & Immunology
CABERGOLINE,"Nutrition, Fluids, Electrolytes & Supplies"
CABOZANTINIB S-MALATE,Oncology & Immunology
CALCIFEDIOL,"Endocrine, Metabolic & Hormonal"
CALCIPOTRIENE,"Nutrition, Fluids, Electrolytes & Supplies"
CALCIPOTRIENE/BETAMETHASONE,"Nutrition, Fluids, Electrolytes & Supplies"
"CALCITONIN,SALMON,SYNTHETIC","Endocrine, Metabolic & Hormonal"
CALCITRIOL,"Endocrine, Metabolic & Hormonal"
CALCIUM ACETATE,"Nutrition, Fluids, Electrolytes & Supplies"
CALCIUM CARB/MAG CARB/FOLIC AC,"Nutrition, Fluids, Electrolytes & Supplies"
CALCIUM GLUCONATE,"Nutrition, Fluids, Electrolytes & Supplies"
CANAGLIFLOZIN,"Endocrine, Metabolic & Hormonal"
CANAGLIFLOZIN/METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
CANAKINUMAB/PF,Oncology & Immunology
CANDESARTAN CILEXETIL,Cardiovascular & Blood
CANDESARTAN/HYDROCHLOROTHIAZID,Cardiovascular & Blood
CAPECITABINE,Oncology & Immunology
CAPTOPRIL,Cardiovascular & Blood
CAPTOPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
CARBAMAZEPINE,"Neurology, Psychiatry & Pain"
CARBIDOPA,"Neurology, Psychiatry & Pain"
CARBIDOPA/LEVODOPA,"Neurology, Psychiatry & Pain"
CARBIDOPA/LEVODOPA/ENTACAPONE,"Neurology, Psychiatry & Pain"
CARBINOXAMINE MALEATE,Respiratory & Allergy
CARBOPLATIN,Oncology & Immunology
CARFILZOMIB,Oncology & Immunology
CARGLUMIC ACID,"Endocrine, Metabolic & Hormonal"
CARIPRAZINE HCL,"Neurology, Psychiatry & Pain"
CARISOPRODOL,"Neurology, Psychiatry & Pain"
CARISOPRODOL/ASPIRIN,Cardiovascular & Blood
CARISOPRODOL/ASPIRIN/CODEINE,Cardiovascular & Blood
CARMUSTINE,Oncology & Immunology
CARTEOLOL HCL,Ophthalmic & Otic
CARVEDILOL,"Nutrition, Fluids, Electrolytes & Supplies"
CARVEDILOL PHOSPHATE,"Nutrition, Fluids, Electrolytes & Supplies"
CASPOFUNGIN ACETATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFACLOR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFADROXIL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFAZOLIN SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"CEFAZOLIN SODIUM/DEXTROSE,ISO",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFDINIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFEPIME HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFEPIME HCL IN DEXTROSE 5 %,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFEPIME IN ISO-OSM DEXTROSE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFIXIME,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFOTAXIME SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFOTETAN DISODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFOXITIN SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"CEFOXITIN SODIUM/DEXTROSE,ISO",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFPODOXIME PROXETIL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFPROZIL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFTAROLINE FOSAMIL ACETATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFTAZIDIME,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFTAZIDIME IN DEXTROSE5%WATER,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFTAZIDIME/AVIBACTAM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFTIBUTEN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFTOLOZANE/TAZOBACTAM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFTRIAXONE IN IS-OSM DEXTROSE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFTRIAXONE SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFUROXIME AXETIL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CEFUROXIME SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CELECOXIB,"Nutrition, Fluids, Electrolytes & Supplies"
CEPHALEXIN,"Nutrition, Fluids, Electrolytes & Supplies"
CERITINIB,Oncology & Immunology
CERTOLIZUMAB PEGOL,Oncology & Immunology
CETIRIZINE HCL,Respiratory & Allergy
CETUXIMAB,Oncology & Immunology
CEVIMELINE HCL,"Nutrition, Fluids, Electrolytes & Supplies"
CHENODIOL,Gastrointestinal & Genitourinary
CHLORAMBUCIL,Oncology & Immunology
CHLORDIAZEPOXIDE HCL,"Neurology, Psychiatry & Pain"
CHLORDIAZEPOXIDE/CLIDINIUM BR,"Neurology, Psychiatry & Pain"
CHLORHEXIDINE GLUCONATE,"Nutrition, Fluids, Electrolytes & Supplies"
CHLOROQUINE PHOSPHATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CHLOROTHIAZIDE,Cardiovascular & Blood
CHLOROTHIAZIDE SODIUM,Cardiovascular & Blood
CHLORPROMAZINE HCL,"Neurology, Psychiatry & Pain"
CHLORPROPAMIDE,"Endocrine, Metabolic & Hormonal"
CHLORTHALIDONE,Cardiovascular & Blood
CHLORZOXAZONE,"Neurology, Psychiatry & Pain"
CHOLESTYRAMINE (WITH SUGAR),"Endocrine, Metabolic & Hormonal"
CHOLESTYRAMINE/ASPARTAME,"Endocrine, Metabolic & Hormonal"
"CHORIONIC GONADOTROPIN, HUMAN","Nutrition, Fluids, Electrolytes & Supplies"
CICLESONIDE,Respiratory & Allergy
CICLOPIROX,Dermatology (Topical)
CICLOPIROX OLAMINE,Dermatology (Topical)
CICLOPIROX/UREA/CAMPH/MEN/EUC,Dermatology (Topical)
CIDOFOVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CILOSTAZOL,Cardiovascular & Blood
CIMETIDINE,Gastrointestinal & Genitourinary
CIMETIDINE HCL,Gastrointestinal & Genitourinary
CINACALCET HCL,"Endocrine, Metabolic & Hormonal"
CIPROFLOXACIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CIPROFLOXACIN HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CIPROFLOXACIN HCL/DEXAMETH,Ophthalmic & Otic
CIPROFLOXACIN HCL/FLUOCINOLONE,Ophthalmic & Otic
CIPROFLOXACIN IN 5 % DEXTROSE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CIPROFLOXACIN LACTATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CIPROFLOXACIN/CIPROFLOXA HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CIPROFLOXACIN/HYDROCORTISONE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CISPLATIN,Oncology & Immunology
CITALOPRAM HYDROBROMIDE,"Neurology, Psychiatry & Pain"
CITRIC AC/GLUCONOLACT/MAG CARB,"Nutrition, Fluids, Electrolytes & Supplies"
CITRIC ACID/SODIUM CITRATE,"Nutrition, Fluids, Electrolytes & Supplies"
CLARITHROMYCIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CLEMASTINE FUMARATE,Respiratory & Allergy
CLINDAMYCIN HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CLINDAMYCIN IN 0.9 % SOD CHLOR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CLINDAMYCIN PALMITATE HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CLINDAMYCIN PHOS/BENZOYL PEROX,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CLINDAMYCIN PHOSPHATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CLINDAMYCIN PHOSPHATE/D5W,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CLINDAMYCIN/TRETINOIN,Dermatology (Topical)
CLOBAZAM,"Neurology, Psychiatry & Pain"
CLOBETASOL PROPIONATE,Dermatology (Topical)
CLOBETASOL PROPIONATE/EMOLL,Dermatology (Topical)
CLOCORTOLONE PIVALATE,Dermatology (Topical)
CLOMIPHENE CITRATE,"Endocrine, Metabolic & Hormonal"
CLOMIPRAMINE HCL,"Neurology, Psychiatry & Pain"
CLONAZEPAM,"Neurology, Psychiatry & Pain"
CLONIDINE,Cardiovascular & Blood
CLONIDINE HCL,Cardiovascular & Blood
CLOPIDOGREL BISULFATE,Cardiovascular & Blood
CLORAZEPATE DIPOTASSIUM,"Neurology, Psychiatry & Pain"
CLOTRIMAZOLE,"Nutrition, Fluids, Electrolytes & Supplies"
CLOTRIMAZOLE/BETAMETHASONE DIP,"Nutrition, Fluids, Electrolytes & Supplies"
CLOZAPINE,"Neurology, Psychiatry & Pain"
COBICISTAT,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
COBIMETINIB FUMARATE,Oncology & Immunology
CODEINE PHOSPHATE/GUAIFENESIN,"Neurology, Psychiatry & Pain"
CODEINE SULFATE,"Neurology, Psychiatry & Pain"
CODEINE/BUTALBITAL/ASA/CAFFEIN,"Neurology, Psychiatry & Pain"
COLCHICINE,"Endocrine, Metabolic & Hormonal"
COLESEVELAM HCL,"Endocrine, Metabolic & Hormonal"
COLESTIPOL HCL,"Endocrine, Metabolic & Hormonal"
COLISTIN (COLISTIMETHATE NA),Infectious Disease (Antimicrobial/Antiviral/Vaccine)
COLLAGENASE CLOSTRIDIUM HIST.,Dermatology (Topical)
COPPER,"Nutrition, Fluids, Electrolytes & Supplies"
CORTICOTROPIN,"Endocrine, Metabolic & Hormonal"
CORTISONE ACETATE,"Endocrine, Metabolic & Hormonal"
CRISABOROLE,Dermatology (Topical)
CRIZOTINIB,Oncology & Immunology
CROFELEMER,Gastrointestinal & Genitourinary
CROMOLYN SODIUM,Respiratory & Allergy
CROTAMITON,Dermatology (Topical)
CYANOCOBALAMIN (VITAMIN B-12),"Nutrition, Fluids, Electrolytes & Supplies"
CYANOCOBALAMIN/FOLIC AC/VIT B6,"Nutrition, Fluids, Electrolytes & Supplies"
CYCLOBENZAPRINE HCL,"Neurology, Psychiatry & Pain"
CYCLOPENTOLATE HCL,Ophthalmic & Otic
CYCLOPENTOLATE/PHENYLEPHRINE,Ophthalmic & Otic
CYCLOPHOSPHAMIDE,Oncology & Immunology
CYCLOSERINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
CYCLOSPORINE,Oncology & Immunology
"CYCLOSPORINE, MODIFIED",Oncology & Immunology
CYPROHEPTADINE HCL,Respiratory & Allergy
CYSTEAMINE BITARTRATE,"Nutrition, Fluids, Electrolytes & Supplies"
CYSTEAMINE HCL,"Nutrition, Fluids, Electrolytes & Supplies"
CYTARABINE,Oncology & Immunology
CYTARABINE/PF,Oncology & Immunology
CYTOMEGALOVIRUS IMMUNE GLOBULN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DABIGATRAN ETEXILATE MESYLATE,Cardiovascular & Blood
DABRAFENIB MESYLATE,Oncology & Immunology
DACARBAZINE,Oncology & Immunology
DACLATASVIR DIHYDROCHLORIDE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DACLIZUMAB,Oncology & Immunology
DALBAVANCIN HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DALFAMPRIDINE,"Neurology, Psychiatry & Pain"
"DALTEPARIN SODIUM,PORCINE",Cardiovascular & Blood
DANAZOL,"Endocrine, Metabolic & Hormonal"
DANTROLENE SODIUM,"Neurology, Psychiatry & Pain"
DAPAGLIFLOZIN PROPANEDIOL,"Endocrine, Metabolic & Hormonal"
DAPAGLIFLOZIN/METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
DAPSONE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DAPTOMYCIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DARATUMUMAB,Oncology & Immunology
DARBEPOETIN ALFA IN POLYSORBAT,Oncology & Immunology
DARIFENACIN HYDROBROMIDE,Gastrointestinal & Genitourinary
DARUNAVIR ETHANOLATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DARUNAVIR/COBICISTAT,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DASATINIB,Oncology & Immunology
DECITABINE,Oncology & Immunology
DEFERASIROX,"Endocrine, Metabolic & Hormonal"
DEFERIPRONE,"Endocrine, Metabolic & Hormonal"
DEFEROXAMINE MESYLATE,"Endocrine, Metabolic & Hormonal"
DEFLAZACORT,"Endocrine, Metabolic & Hormonal"
DEGARELIX ACETATE,Oncology & Immunology
DELAVIRDINE MESYLATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
